"x-el","x-el 2","x-el 3","x-el src","x-el 4","x-el 5","x-el 6","x-el 7","x-el 8","x-el 14","x-el 15","x-el href","x-el 16","x-el 17","x-el 18"
"BLOOM LED MINI SPOTLIGHT","BLOOM LED MINI SPOTLIGHT","","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-dbbe3f6.png/:/cr=t:14.21%25,l:18.04%25,w:53.46%25,h:76.92%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W         33x23                  25               200","","","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"AURA LED DEEP DOWNLIGHT","BLOOM LED MINI SPOTLIGHT","","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/AURA.png/:/cr=t:4.12%25,l:0%25,w:100%25,h:91.75%25/rs=w:388,h:291.72932330827064,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W         33x23                  25               100","","","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"CRAXA LED MINI SPOTLIGHT","CRAXA LED MINI SPOTLIGHT","CRAXA LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-76a767b.png/:/cr=t:27.51%25,l:5.36%25,w:89.29%25,h:44.47%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W         45x35                   35              100","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Red, Pink ,Yellow","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"M-ONE LED MINI SPOTLIGHT","CRAXA LED MINI SPOTLIGHT","CRAXA LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-1b94092.png/:/cr=t:14.84%25,l:0%25,w:100%25,h:60.15%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","1W        30x30                25                  100","CCT & Colors: 3000K/4000K/6500K","","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","Fixture: Also Available In White & Black Fixture Housing.","",""
"M-ONE LED MINI SPOTLIGHT","CRAXA LED MINI SPOTLIGHT","M-ONE LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-2aec6bc.png/:/cr=t:20.21%25,l:0%25,w:100%25,h:54.51%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W         38x30                   35                100","CCT & Colors: 3000K/4000K/6500K","","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"FERXO LED MINI SPOTLIGHT","FERXO LED MINI SPOTLIGHT","M-ONE LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-1b94092.png/:/cr=t:14.84%25,l:0%25,w:100%25,h:60.15%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","1W         30x30                25                  100","CCT & Colors: 3000K/4000K/6500K","","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","Fixture: Also Available In White & Black Fixture Housing.","",""
"FERXO LED MINI SPOTLIGHT","FERXO LED MINI SPOTLIGHT","FERXO LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-190af6d.png/:/cr=t:22.58%25,l:0%25,w:100%25,h:54.51%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W          38x30                   35              100","CCT & Colors: 3000K/4000K/6500K","","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"MOON LED MINI SPOTLIGHT","FERXO LED MINI SPOTLIGHT","FERXO LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-9fb5a2c.png/:/cr=t:30.68%25,l:0%25,w:100%25,h:39.43%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W          70x45                   52             100","","CCT & Colors: 3000K/4000K/6500K","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","Blue, Green, Red, Pink,3in1","7W         110x60                  70             100",""
"ERA LED MINI SPOTLIGHT","ERA LED MINI SPOTLIGHT","ERA LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-b47699a.png/:/cr=t:30.58%25,l:0%25,w:100%25,h:42.54%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W           75x35                   52            100","","","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","CCT & Colors: 3000K/4000K/6500K","6W           90x45                   75             100","Blue, Green, Red, Pink,3in1"
"CRYSTAL LED SPOTLIGHT","ERA LED MINI SPOTLIGHT","ERA LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/14.png/:/cr=t:18.47%25,l:0%25,w:100%25,h:63.05%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W          70x50                   55               100","9W          85x56                   75                50","16W        110x75                 100              10","Color Available In 3W -","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","24W        140x90                 130               10","6W          85x56                   75                50","30W        160x110               150               10"
"VERVE LED SPOTLIGHT","ERA LED MINI SPOTLIGHT","CIRCLE LED SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-911ae70.png/:/cr=t:21.75%25,l:0%25,w:100%25,h:49.04%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","7W          68x56                   63              50","18W       100x105                80              20","","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","12W        85x80                   75              40","CCT & Colors: 3000K/4000K/6500K, 3in1"
"CIRCLE LED SPOTLIGHT","I-POWER LED SPOTLIGHT","CIRCLE LED SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-ab71554.png/:/cr=t:28.08%25,l:7.63%25,w:84.75%25,h:42.37%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","7W          65x53                   63                50","18W        95x95                   85                30","","Fixture: Also Available In White & Black  Housing.","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","CCT & Colors: 3000K/4000K/6500K, 3in1","12W        80x75                   75                40",""
"VERVE+ LED SPOTLIGHT","I-POWER LED SPOTLIGHT","I-POWER LED SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-7bdf06d.png/:/cr=t:18.9%25,l:13.15%25,w:84.75%25,h:61.95%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","7W          85x90                   63                50","18W       105x120                85                30","","Fixture: Also Available In White & Black","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","CCT & Colors: 3000K/4000K/6500K, 3in1","12W       95x100                  75                40",""
"I-POWER LED SPOTLIGHT","I-POWER LED SPOTLIGHT","I-POWER LED SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-d1bfd78.png/:/cr=t:0%25,l:0.78%25,w:99.22%25,h:100%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W          65x50                  55               100","9W          100x55                85                50","16W        130x65              115                50","Blue, Green, Red, Pink, Amber","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","6W          80x55                  70                50","CCT & Colors: 3000K/4000K/6500K"
"NEXA LED MINI SPOTLIGHT","I BALL LED MINI SPOTLIGHT","I BALL LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-2c0d97c.png/:/cr=t:18.63%25,l:7.63%25,w:84.75%25,h:62.74%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W        70x35              52                     100","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Red, Pink ,Yellow","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"I BALL LED MINI SPOTLIGHT","I BALL LED MINI SPOTLIGHT","I BALL LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-dd41be7.png/:/cr=t:22.5%25,l:17.53%25,w:64.94%25,h:55.01%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W         67x35                  45                100","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Red, Pink","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"JET-I SURFACE MOUNTED","I BALL LED MINI SPOTLIGHT","JET-I SURFACE MOUNTED","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-5fd5467.png/:/cr=t:6.54%25,l:26.61%25,w:61.23%25,h:67.57%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) | Std.Pkg","3W         34x60            100","CCT & Colors: 3000K/4000K/6500K","","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"JET-I SURFACE MOUNTED","JET-I SURFACE MOUNTED","JET-I SURFACE MOUNTED","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-b419a84.png/:/cr=t:17.65%25,l:14.79%25,w:70.42%25,h:64.71%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) |  Std.Pkg","5W         55x75             50","20W       95x110           20","","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","CCT & Colors: 3000K/4000K/6500K","12W       73x90             40","Fixture: Also Available In White & Black Fixture Housing."
"RANGOLI LED SPOTLIGHT","JET-I SURFACE MOUNTED","RANGOLI LED SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-ae19395.png/:/cr=t:30.72%25,l:9.68%25,w:80.65%25,h:38.56%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W         75x35                52                 100","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Red, Pink ,Yellow , 3in1","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"COLOURS LED SPOTLIGHT","JET-I SURFACE MOUNTED","RANGOLI LED SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-ae19395.png/:/cr=t:30.72%25,l:9.68%25,w:80.65%25,h:38.56%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","7W         75x35                52                  100","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Red, Pink ,Yellow , 3in1","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"EVA LED SPOTLIGHT","QUICK LED JUNCTION LIGHT","","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/eva.png/:/cr=t:9.68%25,l:25.17%25,w:66.82%25,h:80.65%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W           -                    -                     100","10W         -                   -                      50","","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","CCT & Colors: 3000K/4000K/6500K","6W           -                    -                     100",""
"QUICK LED JUNCTION LIGHT","QUICK LED JUNCTION LIGHT","","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/quick.png/:/cr=t:13.63%25,l:23.55%25,w:63.73%25,h:76.92%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt   |  Size (mm) |  Std.Pkg","8X8W       111x45            100","CCT & Colors: 3000K/4000K/6500K/PGB","","Features","Premium LED Junction Light","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"LOOP LED DOWNLIGHT","LOOP LED DOWNLIGHT","","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-08ae789.png/:/cr=t:13.63%25,l:35.12%25,w:53.32%25,h:60.24%25/rs=w:388,h:194,cg:true,m","Watt   |  Size (mm) |  Std.Pkg","3X2W       111x45            100","","CCT & Colors: 3000K/4000K/6500K","Features","Premium LED Downlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","5X2W       164x45             50",""
"SUPER SAVER LED PANEL LIGHT","PRIME SERIES LED PANEL LIGHT","PRIME SERIES LED PANEL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-ea24097.png/:/cr=t:24.73%25,l:14.79%25,w:70.42%25,h:50.53%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","4W         85x20               75                   100","15W        174x20             150                 40","22W        225x20             200                 30","Features","Premium LED Panel Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","30W        300x20             270                 10","8W         120x20             75                   100","CCT & Colors: 3000K/4000K/6500K, 3in1"
"PRIME SERIES LED PANEL LIGHT","PRIME SERIES LED PANEL LIGHT","PRIME SERIES LED PANEL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-ea24097.png/:/cr=t:25.76%25,l:16.22%25,w:67.57%25,h:48.48%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","4W         85x20               75                   50","15W        174x20             150                 40","22W        225x20             200                 30","Features","Premium LED Panel Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","30W        300x20             270                 10","8W         120x20             100                 50","CCT & Colors: 3000K/4000K/6500K, 3in1"
"MAXBRIGHT LED PANEL LIGHT","PRIME SERIES LED PANEL LIGHT","MAXBRIGHT LED PANEL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-58dec79.png/:/cr=t:0%25,l:2.13%25,w:95.75%25,h:100%25/rs=w:388,h:291.72932330827064,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","8W         90x10               75                   50","22W       170x10             155                 20","","Features","Premium LED Panel Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","15W       145x10             125                 20","CCT & Colors: 3000K/4000K/6500K"
"TRIO LED PANEL LIGHT","SATRANGI LED PANEL LIGHT","MAXBRIGHT LED PANEL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/TRIO.png/:/cr=t:5.87%25,l:16.5%25,w:74.08%25,h:89.28%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","8W         115x38               101                50","","","Features","Premium LED Panel Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","CCT & Colors: 3000K/4000K/6500K/ 3in1","15W       165x38               155                40",""
"AIR LED PANEL LIGHT","SATRANGI LED PANEL LIGHT","SATRANGI LED PANEL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/4-d564d4a.png/:/cr=t:14.12%25,l:0%25,w:100%25,h:71.75%25/rs=w:388,h:291.72932330827064,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","8W         115x35               100               50","22W       220x35               205               30","","Features","Premium LED Panel Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","15W       165x35               150               40","CCT & Colors: 3000K/4000K/6500K /3in1"
"SATRANGI LED PANEL LIGHT","SATRANGI LED PANEL LIGHT","SATRANGI LED PANEL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-4068b52.png/:/cr=t:13.24%25,l:25.77%25,w:48.48%25,h:73.53%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt |  Size (mm) | Cut Size(mm) | Std.Pkg","3+3W         105x10               75             100","12+6W       190x10             155              40","","Features","Premium LED Panel Light","SEND AN ENQUIRY","mailto:sales@multtifab.co.in","","6+6W         140x10             125              40","CCT & Colors: Yellow, Blue, Green, Pink, PGB"
"LUNA LED PANEL LIGHT","LUNA LED PANEL LIGHT","LUNA LED PANEL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/LUNA-d6663bd.jpg/:/cr=t:0%25,l:7.12%25,w:80.18%25,h:100%25/rs=w:388,h:291.72932330827064,cg:true","Watt |  Size (mm) | Cut Size(mm) | Std.Pkg","6+6W         140x10             110            40","","","Features","Premium LED Panel Light","SEND AN ENQUIRY","mailto:sales@multtifab.co.in","CCT & Colors: Yellow, Blue, Green, Pink, PGB","12+6W       190x10             155            40",""
"SATRANGI SURFACE PANEL","SUPER SAVER SURFACE PANEL","SUPER SAVER SURFACE PANEL","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-815903d.png/:/cr=t:10.74%25,l:27.22%25,w:49.48%25,h:76.93%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt |  Size (mm) |  Std.Pkg","3+3W         105x32        100","12+6W       190x32         30","","Features","Premium LED Surface Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","6+6W         140x32         40","CCT & Colors: Yellow, Blue, Green, Pink, PGB"
"SUPER SAVER SURFACE PANEL","SUPER SAVER SURFACE PANEL","SUPER SAVER SURFACE PANEL","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-d6383b0.png/:/cr=t:9.68%25,l:20.46%25,w:59.08%25,h:80.65%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt |  Size (mm) |  Std.Pkg","8W        120x32         50","22W      210x32         30","","Features","Premium LED Surface Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","15W       170x32         40","CCT & Colors: 3000K/4000K/6500K, 3in1"
"MAXBRIGHT SURFACE PANEL","SUPER SAVER SURFACE PANEL","MAXBRIGHT SURFACE PANEL","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-5987aa6.png/:/cr=t:17.9%25,l:22.06%25,w:50.59%25,h:58.14%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt |  Size (mm) |  Std.Pkg","8W          90x28            50","22W        170x28          20","","Features","Premium LED Surface Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","15W       145x28           20","CCT & Colors: 3000K/4000K/6500K"
"LUNA LED PANEL LIGHT","ULTRAMAX MINI SURFACE LIGHT","MAXBRIGHT SURFACE PANEL","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/luna%20surfACE-d37af3c.png/:/cr=t:11.37%25,l:21.14%25,w:60.92%25,h:73.53%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt     |  Size (mm) |  Std.Pkg","6+6W         140x10             40","","","Features","Premium LED Surface Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","CCT & Colors: 3000K/4000K/6500K","12+6W       190x10             40",""
"ULTRAMAX MINI SURFACE LIGHT","ULTRAMAX MINI SURFACE LIGHT","ULTRAMAX MINI SURFACE LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-a00a278.png/:/cr=t:0%25,l:6.62%25,w:86.76%25,h:100%25/rs=w:388,h:291.72932330827064,cg:true","Watt |  Size (mm) |  Std.Pkg","3W         60x10           100","15W       151X19         100","","Colors Available In 3W & 8W:","Premium LED Surface Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","CCT & Colors: 3000K/4000K/6500K","8W         100x19         100","Yellow, Blue, Green, Pink, Red 3in1"
"OCULAR MINI SURFACE LIGHT","ULTRAMAX MINI SURFACE LIGHT","ULTRAMAX MINI SURFACE LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-4419dd9.png/:/cr=t:14.79%25,l:20.66%25,w:58.69%25,h:70.42%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt |  Size (mm) |  Std.Pkg","3W         60x15           100","","","Features","Premium LED Surface Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","CCT & Colors:3000K/4000K/6500K","5W         74x15           100",""
"ALPHA MINI SURFACE LIGHT","ALPHA MINI SURFACE LIGHT","ALPHA MINI SURFACE LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/alpha.png/:/cr=t:9.68%25,l:21.26%25,w:66.86%25,h:80.65%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt |  Size (mm) |  Std.Pkg","3W         75x35         100","","","Features","Premium LED Surface Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","CCT & Colors: RGB","",""
